[2026-03-22 17:25:26.134] [INFO] [TIME] Funding in 04:33.866
[2026-03-22 17:25:26.240] [INFO] [TIME] Funding in 04:33.759
[2026-03-22 17:25:26.348] [INFO] [TIME] Funding in 04:33.652
[2026-03-22 17:25:26.450] [INFO] [TIME] Funding in 04:33.550
[2026-03-22 17:25:26.551] [INFO] [TIME] Funding in 04:33.448
[2026-03-22 17:25:26.652] [INFO] [TIME] Funding in 04:33.347
[2026-03-22 17:25:26.753] [INFO] [TIME] Funding in 04:33.246
[2026-03-22 17:25:26.854] [INFO] [TIME] Funding in 04:33.145
[2026-03-22 17:25:26.955] [INFO] [TIME] Funding in 04:33.044
[2026-03-22 17:25:27.055] [INFO] [TIME] Funding in 04:32.944
[2026-03-22 17:25:27.157] [INFO] [TIME] Funding in 04:32.842
[2026-03-22 17:25:27.258] [INFO] [TIME] Funding in 04:32.741
[2026-03-22 17:25:27.358] [INFO] [TIME] Funding in 04:32.641
[2026-03-22 17:25:27.459] [INFO] [TIME] Funding in 04:32.540
[2026-03-22 17:25:27.560] [INFO] [TIME] Funding in 04:32.439
[2026-03-22 17:25:27.661] [INFO] [TIME] Funding in 04:32.338
[2026-03-22 17:25:27.763] [INFO] [TIME] Funding in 04:32.237
[2026-03-22 17:25:27.863] [INFO] [TIME] Funding in 04:32.136
[2026-03-22 17:25:27.964] [INFO] [TIME] Funding in 04:32.035
[2026-03-22 17:25:28.065] [INFO] [TIME] Funding in 04:31.934
[2026-03-22 17:25:28.166] [INFO] [TIME] Funding in 04:31.833
[2026-03-22 17:25:28.267] [INFO] [TIME] Funding in 04:31.732
[2026-03-22 17:25:28.369] [INFO] [TIME] Funding in 04:31.630
[2026-03-22 17:25:28.469] [INFO] [TIME] Funding in 04:31.530
[2026-03-22 17:25:28.570] [INFO] [TIME] Funding in 04:31.429
[2026-03-22 17:25:28.671] [INFO] [TIME] Funding in 04:31.328
[2026-03-22 17:25:28.774] [INFO] [TIME] Funding in 04:31.226
[2026-03-22 17:25:28.875] [INFO] [TIME] Funding in 04:31.125
[2026-03-22 17:25:28.976] [INFO] [TIME] Funding in 04:31.023
[2026-03-22 17:25:29.077] [INFO] [TIME] Funding in 04:30.922
[2026-03-22 17:25:29.183] [INFO] [TIME] Funding in 04:30.819
[2026-03-22 17:25:29.296] [INFO] [TIME] Funding in 04:30.703
[2026-03-22 17:25:29.401] [INFO] [TIME] Funding in 04:30.598
[2026-03-22 17:25:29.517] [INFO] [TIME] Funding in 04:30.483
[2026-03-22 17:25:29.621] [INFO] [TIME] Funding in 04:30.378
[2026-03-22 17:25:29.723] [INFO] [TIME] Funding in 04:30.276
[2026-03-22 17:25:29.825] [INFO] [TIME] Funding in 04:30.174
[2026-03-22 17:25:29.927] [INFO] [TIME] Funding in 04:30.072
[2026-03-22 17:25:30.029] [INFO] [TIME] Funding in 04:29.970
[2026-03-22 17:25:30.130] [INFO] [TIME] Funding in 04:29.869
[2026-03-22 17:25:30.231] [INFO] [TIME] Funding in 04:29.768
[2026-03-22 17:25:30.332] [INFO] [TIME] Funding in 04:29.667
[2026-03-22 17:25:30.433] [INFO] [TIME] Funding in 04:29.566
[2026-03-22 17:25:30.536] [INFO] [TIME] Funding in 04:29.463
[2026-03-22 17:25:30.637] [INFO] [TIME] Funding in 04:29.362
[2026-03-22 17:25:30.738] [INFO] [TIME] Funding in 04:29.261
[2026-03-22 17:25:30.840] [INFO] [TIME] Funding in 04:29.160
[2026-03-22 17:25:30.940] [INFO] [TIME] Funding in 04:29.059
[2026-03-22 17:25:31.041] [INFO] [TIME] Funding in 04:28.958
[2026-03-22 17:25:31.142] [INFO] [TIME] Funding in 04:28.857
[2026-03-22 17:25:31.243] [INFO] [TIME] Funding in 04:28.757
[2026-03-22 17:25:31.344] [INFO] [TIME] Funding in 04:28.656
[2026-03-22 17:25:31.445] [INFO] [TIME] Funding in 04:28.555
[2026-03-22 17:25:31.546] [INFO] [TIME] Funding in 04:28.453
[2026-03-22 17:25:31.647] [INFO] [TIME] Funding in 04:28.352
[2026-03-22 17:25:31.747] [INFO] [TIME] Funding in 04:28.252
[2026-03-22 17:25:31.848] [INFO] [TIME] Funding in 04:28.151
[2026-03-22 17:25:31.949] [INFO] [TIME] Funding in 04:28.050
[2026-03-22 17:25:32.050] [INFO] [TIME] Funding in 04:27.949
[2026-03-22 17:25:32.151] [INFO] [TIME] Funding in 04:27.848
[2026-03-22 17:25:32.253] [INFO] [TIME] Funding in 04:27.746
[2026-03-22 17:25:32.353] [INFO] [TIME] Funding in 04:27.646
[2026-03-22 17:25:32.454] [INFO] [TIME] Funding in 04:27.545
[2026-03-22 17:25:32.555] [INFO] [TIME] Funding in 04:27.444
[2026-03-22 17:25:32.656] [INFO] [TIME] Funding in 04:27.343
[2026-03-22 17:25:32.757] [INFO] [TIME] Funding in 04:27.242
[2026-03-22 17:25:32.857] [INFO] [TIME] Funding in 04:27.142
[2026-03-22 17:25:32.958] [INFO] [TIME] Funding in 04:27.041
[2026-03-22 17:25:33.059] [INFO] [TIME] Funding in 04:26.940
[2026-03-22 17:25:33.160] [INFO] [TIME] Funding in 04:26.839
[2026-03-22 17:25:33.267] [INFO] [TIME] Funding in 04:26.733
[2026-03-22 17:25:33.393] [INFO] [TIME] Funding in 04:26.607
[2026-03-22 17:25:33.495] [INFO] [TIME] Funding in 04:26.505
[2026-03-22 17:25:33.596] [INFO] [TIME] Funding in 04:26.403
[2026-03-22 17:25:33.697] [INFO] [TIME] Funding in 04:26.302
[2026-03-22 17:25:33.798] [INFO] [TIME] Funding in 04:26.201
[2026-03-22 17:25:33.900] [INFO] [TIME] Funding in 04:26.100
[2026-03-22 17:25:34.001] [INFO] [TIME] Funding in 04:25.998
